	rab.all	rab.win.female	rab.win.male	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Enterocloster;s_Enterocloster bolteae	2.56146473077825	9.81790740827536	-3.07997290184283	-10.8847484075483	4.33096398739891	-2.51323918629151	0.00027407495720991	0.0273130992133521	0.307034034184206	0.125	0.52642766776156
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_butyrate-producing bacterium SS3/4 (no family in NCBI);g_butyrate-producing bacterium SS3/4 (no genus in NCBI);s_butyrate-producing bacterium SS3/4	1.77200907450089	1.28081609388288	1.77200907450089	0.388458601178377	7.68161543332326	0.0505699100078902	0.5	0.77632823346828	0.927220394975166	0.8984375	0.970298472391029
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Prevotella;s_Prevotella sp.	-6.07547587884229	-5.76254776323246	-6.32295060993515	0.44566897735371	7.22282320216525	0.0617028777916243	0.47656252986779	0.611175771493651	0.847979600225131	0.7236328125	0.900229083221231
k_Bacteria;p_Firmicutes;c_Negativicutes;o_Acidaminococcales;f_Acidaminococcaceae;g_Acidaminococcus;s_Unclassified Acidaminococcus	-2.77670943412285	-2.22245487222122	-3.07745185647113	-2.5221843236415	4.23036515400245	-0.596209601730292	0.175097985768232	0.235662049516363	0.595037584829491	0.3134765625	0.654353653372759
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Odoribacteraceae;g_Unclassified Odoribacteraceae;s_Unclassified Odoribacteraceae	-1.27455917599295	-4.04353774433711	-0.115533657640881	4.41381650477515	3.21477702121799	1.37297749599531	0.0195392136090786	0.0656624912141399	0.389940141987033	0.134765625	0.533424292230038
k_Bacteria;p_Proteobacteria;c_Epsilonproteobacteria;o_Campylobacterales;f_Campylobacteraceae;g_Campylobacter;s_Unclassified Campylobacter	-1.77092943952653	-4.18341665209314	0.701809478889889	3.95703751943645	2.13908201048673	1.84987648909078	0.0195392136090786	0.0578737171250732	0.367358949486246	0.134765625	0.534946867870299
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Coprococcus;s_Unclassified Coprococcus	2.31666315643057	2.01779131467702	2.72544220612036	0.631207874478859	0.759936295773853	0.830606299487369	0.194553144002082	0.278825377743062	0.63730746609738	0.2685546875	0.636970042563459
k_Bacteria;p_Actinobacteria;c_Coriobacteriia;o_Eggerthellales;f_Eggerthellaceae;g_Adlercreutzia;s_Unclassified Adlercreutzia	-3.84619434199347	-1.11006665736448	-6.48637158393733	-5.60961666561908	6.74744205742408	-0.831369371960287	0.155642849836768	0.210158065151723	0.575559837790363	0.25	0.621089733082719
k_Bacteria;p_Firmicutes;c_Negativicutes;o_Acidaminococcales;f_Acidaminococcaceae;g_Acidaminococcaceae bacterium (no genus in NCBI);s_Acidaminococcaceae bacterium	-3.32274019806806	-3.79700565729792	-3.02400673974551	-0.148447958141622	9.21667526743733	-0.0161064542076351	0.490272385818683	0.749438743669741	0.917124342507177	0.828125	0.947187418413028
k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacilli bacterium (no order in NCBI);f_Bacilli bacterium (no family in NCBI);g_Bacilli bacterium (no genus in NCBI);s_Bacilli bacterium	-5.45913804551829	-5.91687604034273	-2.45934000419483	3.58321447618141	9.19139748900747	0.389844360497605	0.404669385514707	0.521017484365461	0.790630119695629	0.6318359375	0.857046740835916
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridia bacterium (no order in NCBI);f_Clostridia bacterium (no family in NCBI);g_Clostridia bacterium (no genus in NCBI);s_Clostridia bacterium	2.2672513559909	4.23630847980367	1.68025352788848	-2.1782720135277	1.21082060530202	-1.79900474437694	0.250000423850461	0.404385536853457	0.737810261191228	0.57421875	0.847135258265
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Peptostreptococcaceae;g_Intestinibacter;s_Unclassified Intestinibacter	3.87340041532788	6.47479915061728	-1.45812553654089	-7.28984410052423	1.84070824059518	-3.96034740310997	0.00027407495720991	0.0315232052552795	0.315720882493196	0.125	0.52642766776156
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Faecalibacterium;s_Unclassified Faecalibacterium	10.2303507490202	9.40179095605185	11.6361254162604	2.30134374811141	3.30166840109678	0.697024494448601	0.250000423850461	0.243416287939681	0.607455431759185	0.310546875	0.678077788625509
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Unclassified Parabacteroides	10.5474348657035	9.30560929972274	10.5474348657035	-0.0476339648747284	0.810026289677537	-0.0588054554299601	0.447470884135442	0.524762861744261	0.822519392816013	0.8681640625	0.963957387610818
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Unclassified Clostridiales;g_Unclassified Clostridiales;s_Unclassified Clostridiales	11.3069105728032	11.5524828543548	10.9920797785456	-1.26952453410678	1.73122435939768	-0.733310230540232	0.250000423850461	0.298096499939966	0.648297138582256	0.3720703125	0.723823867470452
k_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Desulfovibrionales;f_Desulfovibrionaceae;g_Desulfovibrio;s_Unclassified Desulfovibrio	-0.875422777763609	0.665185016859282	-1.27120126458091	-1.23749550089087	5.80969093241985	-0.213005393107104	0.300781551121346	0.55958436397126	0.809836385236354	0.6337890625	0.854571675033528
k_Bacteria;p_Firmicutes;c_Negativicutes;o_Acidaminococcales;f_Unclassified Acidaminococcales;g_Unclassified Acidaminococcales;s_Unclassified Acidaminococcales	-2.14982146636138	-2.34775857473443	-0.90281709839845	3.44291416025329	5.70332575624772	0.603667808468024	0.443579838639472	0.630661729167161	0.851617716880771	0.716796875	0.900690061527219
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides heparinolyticus	-2.22663671322837	-4.17274774886433	-1.37962961142907	0.709294623020774	4.41079614454868	0.160808751929602	0.457031305043806	0.578411661060503	0.8194129947861	0.7353515625	0.899307746908035
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Lachnospiraceae bacterium 7_1_58FAA (no genus in NCBI);s_Lachnospiraceae bacterium 7_1_58FAA	-5.40191208457188	0.527260376329533	-7.9067001703486	-8.2102456559705	4.33278694470144	-1.89491100318487	0.0859391755228889	0.0956877104633816	0.413469481115861	0.1875	0.572650176359819
k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Sutterellaceae;g_Sutterellaceae bacterium (no genus in NCBI);s_Sutterellaceae bacterium	2.48317732157318	-2.33023068393293	5.13502740865587	6.65023748918996	6.81456444226817	0.97588591986027	0.250000423850461	0.145460971855983	0.530083431507588	0.2548828125	0.633846476110324
k_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Desulfovibrionales;f_Desulfovibrionaceae;g_Unclassified Desulfovibrionaceae;s_Unclassified Desulfovibrionaceae	-0.198813589091419	2.59698903563431	-1.50047011342555	-1.94374067655655	2.78785585421983	-0.697217065084055	0.0778228670577618	0.194906442702149	0.577164416287618	0.18359375	0.572854544783224
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Oscillospiraceae;g_Oscillibacter;s_Unclassified Oscillibacter	6.15813701633634	8.47956428135837	5.54173998312137	-2.87762682612609	1.2087097698069	-2.38074258850892	0.250000423850461	0.20514360065542	0.583676456760043	0.2529296875	0.632479592754596
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas;s_Pseudomonas aeruginosa	-5.03340466016889	-4.05435408552018	-6.3729486397445	-3.78279344468375	5.61935131407156	-0.673172619624469	0.32684849725881	0.701885323256134	0.8928108996301	0.7978515625	0.935088792409938
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Phocaeicola (no family in NCBI);g_Phocaeicola;s_Phocaeicola vulgatus	12.4023337681712	13.8245345661184	11.9170289159787	-1.76668673850494	3.78743075088178	-0.466460472734353	0.5	0.738448483764525	0.927767199227167	0.9677734375	0.99380188605331
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Phocaeicola (no family in NCBI);g_Phocaeicola;s_Phocaeicola plebeius	0.629619876395398	-3.96835598081912	2.91572889746255	7.581546337896	5.35344346301971	1.41619994500129	0.00027407495720991	0.0494854966133621	0.357247256809754	0.125	0.52642766776156
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Oscillospiraceae;g_Dysosmobacter;s_Dysosmobacter sp. NSJ-60	-3.16514965460641	-4.02889010069798	-1.09776037724606	3.55364971913205	6.39153966024842	0.555992751047707	0.359375194172053	0.760992641513638	0.921559331082966	0.8310546875	0.948269110880876
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiales bacterium 41_12_two_minus (no family in NCBI);g_Clostridiales bacterium 41_12_two_minus (no genus in NCBI);s_Clostridiales bacterium 41_12_two_minus	-3.25601473767205	-0.47447122796008	-4.70257990731742	-2.42696172816848	4.61749080193329	-0.525601854399437	0.394531390354669	0.356140868203977	0.682630091268779	0.5205078125	0.794691783899927
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Peptostreptococcaceae;g_Clostridioides;s_Clostridioides difficile	0.3095315222441	-2.11047663903964	3.20379746552841	5.1676753443773	4.1640024908288	1.24103560354709	0.00027407495720991	0.0683896525730837	0.402642322055827	0.125	0.52642766776156
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Eubacteriaceae;g_Eubacterium;s_Eubacterium sp.	-1.44300340371642	-5.84165911578069	1.61211552989159	7.41169507734478	4.59114815702691	1.61434456564006	0.00027407495720991	0.0469775736585621	0.35145303386995	0.125	0.52642766776156
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Alistipes;s_Alistipes onderdonkii	1.42839607320249	0.117239412197588	1.54932256790314	1.59569155022859	3.90878355996985	0.408232260944348	0.334630584464653	0.82666517176116	0.948787258829324	0.857421875	0.961401159983168
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Phocaeicola (no family in NCBI);g_Phocaeicola;s_Phocaeicola massiliensis	-5.61726530962672	-4.7343129752229	-7.0410469934109	-0.54558180153127	7.59387569383034	-0.0718449739669204	0.478599248840434	0.58585980109651	0.833163086732157	0.751953125	0.915644056029355
k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Streptomycetales;f_Streptomycetaceae;g_Streptomyces;s_Unclassified Streptomyces	-6.00727882607779	-5.69088322360097	-6.67293509269487	-0.364498834782081	7.2798625529099	-0.0500694665775501	0.49609375496733	0.672847347594924	0.871140414054333	0.7685546875	0.918169070678854
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Butyricicoccus;s_Butyricicoccus faecihominis	-0.908141122130813	-5.76819808395546	3.11305690736018	8.50584620919771	3.38028529121858	2.51631015621506	0.0039300390166358	0.0263160805837553	0.299454441661765	0.1259765625	0.527173598678709
k_Bacteria;p_Actinobacteria;c_Coriobacteriia;o_Eggerthellales;f_Eggerthellaceae;g_Eggerthella;s_Eggerthella lenta	-0.3920166968344	0.594804527690377	-0.808591522109062	0.327189639659058	4.79924317611672	0.068175257567132	0.39688729540729	0.79608752883342	0.936990653332763	0.8525390625	0.959916662271987
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Morganellaceae;g_Morganella;s_Unclassified Morganella	-6.16619310398629	-5.59397285411749	-6.92723346906368	0.294325676782175	6.75015405790909	0.0436028088036475	0.480468774873089	0.659893588787577	0.865070850387377	0.7333984375	0.901205548366524
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Eubacteriaceae;g_Eubacterium;s_Eubacterium ramulus	-1.59263844690555	-1.67333038364643	-0.816612944146561	0.980525391947852	5.5874238784341	0.175487919528069	0.464843794925346	0.758146932586124	0.92364679441925	0.8662109375	0.963139781450995
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides uniformis	6.5094069034924	8.47982412984558	6.05037627237988	-2.25047568541985	7.0188655559733	-0.320632396713258	0.5	0.573782860843458	0.849098022419867	0.625	0.882930601719908
k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Polaribacter;s_Unclassified Polaribacter	-3.65848290922105	-4.04994127371651	-3.52800510755579	1.27079576136843	3.98171110462439	0.319158203088245	0.363281437894222	0.767051170760305	0.921717735941068	0.8701171875	0.965165127972603
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Odoribacteraceae;g_Odoribacter;s_Unclassified Odoribacter	0.293669657910152	-1.93383163634928	2.03666496925242	3.98439227225751	1.52876779707867	2.60627695054233	0.00027407495720991	0.0291755707893818	0.300468499481198	0.125	0.52642766776156
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Lachnoclostridium;s_Unclassified Lachnoclostridium	1.87950596693487	3.62780953179541	-0.0198410826444437	-2.38366347017278	4.1178044138502	-0.578867578594882	0.443579838639472	0.487910204640406	0.772571586433551	0.666015625	0.879904200305417
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerostipes;s_Anaerostipes hadrus	2.82536538775606	2.04354774228061	3.41666477134588	1.09452581156424	3.28564567088037	0.333123507889081	0.252918700395999	0.560556200436375	0.840137668914267	0.626953125	0.883693835419654
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Oscillospiraceae;g_Dysosmobacter;s_Unclassified Dysosmobacter	0.463872254592313	1.32200960147926	0.0943403977590762	-0.225306328952302	2.21110362185079	-0.101897679839948	0.451361929656402	0.77677006662878	0.927032499969953	0.8779296875	0.968549667256576
k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Unclassified Rhizobiaceae;s_Unclassified Rhizobiaceae	-0.834567197690948	4.0889501151221	-6.20842638724019	-11.0364959870853	5.4518196459342	-2.02436923886798	0.00027407495720991	0.0504573522098304	0.364032776658213	0.125	0.52642766776156
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Unclassified Escherichia	3.50140856970507	4.60800565335727	1.2433671503364	-4.43769790009738	6.16617420475375	-0.719684159535451	0.250000423850461	0.169734070930117	0.563477666337835	0.251953125	0.631530099780155
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Citrobacter;s_Unclassified Citrobacter	1.28852559666669	1.31161236927574	-0.282826231003243	-2.44258571122317	4.06373262840377	-0.601069493142963	0.311284324344511	0.289233070472763	0.644555267045743	0.3876953125	0.725304746157927
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiales bacterium (no family in NCBI);g_Clostridiales bacterium (no genus in NCBI);s_Clostridiales bacterium	3.02045904656932	5.33673289454397	2.03027783376705	-3.20422174943234	2.39778465561726	-1.3363259047996	0.00027407495720991	0.120132609239893	0.502003493530121	0.125	0.52642766776156
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Lachnoclostridium;s_Lachnoclostridium sp.	2.59325677425596	6.77090582705634	-3.76437135989021	-10.4653663911999	4.43270023931537	-2.36094611099087	0.00027407495720991	0.0207255563375124	0.291028583193259	0.125	0.52642766776156
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Odoribacteraceae;g_Odoribacter;s_Odoribacter splanchnicus	-0.000170979525234927	-0.946186967914495	0.939395719251282	2.62884041266714	2.8224763602547	0.93139501527301	0.250000423850461	0.484567527324559	0.786935353708328	0.6171875	0.86012404730361
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides sp. AF48-14	-5.99384158352146	-5.83295899432184	-6.25142682340142	-0.020775351559239	7.32996968898441	-0.00283430251975811	0.498054477162844	0.675129790543517	0.875070720489846	0.7705078125	0.916798931525657
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Unclassified Rikenellaceae;s_Unclassified Rikenellaceae	3.38121274381702	5.00516250008102	2.13453977783083	-3.01709106748218	4.89914946058549	-0.615839768056721	0.250000423850461	0.259985982670418	0.619147648202363	0.3681640625	0.720702434809499
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Barnesiellaceae;g_Barnesiella;s_Barnesiella intestinihominis	-5.96086577200396	-5.66485155522092	-6.29814892139507	0.944372200897096	6.13007345677492	0.15405560921189	0.457031305043806	0.616613512823758	0.838632969185381	0.689453125	0.882614290126077
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides sp. 3_1_40A	4.56881349636883	5.24286017325364	4.56881349636883	-0.713397629768524	4.90133537834069	-0.145551686367163	0.5	0.923435948717314	0.977018600570793	1	1
k_Bacteria;p_Firmicutes;c_Negativicutes;o_Selenomonadales;f_Selenomonadaceae;g_Selenomonas;s_Unclassified Selenomonas	-2.6150840069324	-0.319137911131198	-2.80867751670211	-3.65351767153823	3.67538033356331	-0.994051591933104	0.394531390354669	0.549913587287767	0.799185466370987	0.62890625	0.850183215365127
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Butyrivibrio;s_Unclassified Butyrivibrio	0.985624103175667	3.40131492326573	-0.24888034200913	-3.0436332267974	1.16328358093386	-2.61641552986937	0.00027407495720991	0.0103504748186614	0.261464909209803	0.125	0.52642766776156
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Anaerotruncus;s_Anaerotruncus sp. G3(2012)	-4.98452621039618	-4.19599245745057	-6.32508762498997	-1.00689224003236	3.69132463066037	-0.272772606253334	0.264591821286511	0.470182860436666	0.743276273442857	0.5498046875	0.797952350502142
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Drancourtella;s_Unclassified Drancourtella	-1.88443001201934	-2.53620985522031	-1.1274539658548	0.655686878653007	3.29884446129938	0.198762592885249	0.39688729540729	0.518974836915487	0.777110701118224	0.626953125	0.835455884018593
k_Bacteria;p_Firmicutes;c_Negativicutes;o_Acidaminococcales;f_Acidaminococcaceae;g_Succiniclasticum;s_Unclassified Succiniclasticum	-4.71265734956785	-5.56008315719786	-2.46584509366788	2.66465815660779	6.97514387173347	0.38202196336139	0.319066410537704	0.470493569099328	0.759129767939697	0.578125	0.821896848979099
k_Bacteria;p_Firmicutes;c_Unclassified Firmicutes;o_Unclassified Firmicutes;f_Unclassified Firmicutes;g_Unclassified Firmicutes;s_Unclassified Firmicutes	4.42401764236991	4.42401764236991	4.59912685054705	0.134313094003492	2.11596689820407	0.0634759901572611	0.390625146066149	0.954121197340218	0.984715173802862	0.87890625	0.969552865476627
k_Bacteria;p_Firmicutes;c_Firmicutes bacterium AF36-19BH (no class in NCBI);o_Firmicutes bacterium AF36-19BH (no order in NCBI);f_Firmicutes bacterium AF36-19BH (no family in NCBI);g_Firmicutes bacterium AF36-19BH (no genus in NCBI);s_Firmicutes bacterium AF36-19BH	-6.47399604693303	-4.30778582192491	-8.03460238720258	-4.34884983119486	7.09676948135459	-0.612792883102746	0.242187946543877	0.310898347401218	0.64600298399411	0.4091796875	0.72018097509971
k_Bacteria;p_Firmicutes;c_Negativicutes;o_Acidaminococcales;f_Acidaminococcaceae;g_Phascolarctobacterium;s_Unclassified Phascolarctobacterium	0.182507168205463	0.957560645458898	-0.686748370413009	2.15914456553493	7.32303070124504	0.294843030655031	0.470817157567962	0.770344066214304	0.92426534910696	0.8505859375	0.95558284551605
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides sp. 2_2_4	1.60367603860353	2.6722402365625	0.801876411552051	-0.806143950704138	4.43194237472029	-0.181894050631697	0.5	0.833953775489069	0.951051024617652	0.8916015625	0.966595459904562
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Morganellaceae;g_Proteus;s_Unclassified Proteus	-5.66319249595453	-5.10600670980002	-6.85680947253062	-3.81751995744607	6.80713825787362	-0.5608112855693	0.264591821286511	0.347732453243794	0.665757538607153	0.4453125	0.744010358124723
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Faecalicatena;s_Unclassified Faecalicatena	-3.27168753000145	-1.77622086762068	-4.2491871409267	-1.75082792964971	3.37504555812158	-0.518756828463125	0.359375194172053	0.437695562235451	0.744421972262551	0.5283203125	0.799519155467889
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Paraprevotella;s_Paraprevotella clara	-5.0854172745958	-3.83334913723036	-6.24801842088306	-2.79572618210358	7.38403094568752	-0.378617885361974	0.375000169541022	0.616310819869808	0.852325359701178	0.7060546875	0.894869135886498
k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodospirillales;f_Acetobacteraceae;g_Acetobacter;s_Unclassified Acetobacter	-5.95064735310327	-5.77233971682301	-6.32194490395546	0.624774111802763	7.20888422216911	0.0866672417738972	0.459144020765433	0.647961713533404	0.85652549484662	0.736328125	0.900627176760931
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiales bacterium CCNA10 (no family in NCBI);g_Clostridiales bacterium CCNA10 (no genus in NCBI);s_Clostridiales bacterium CCNA10	-4.80576266473537	-4.27107012103026	-4.98013077822175	-0.727653626529188	4.03353800848149	-0.180400835444991	0.390625146066149	0.531511978628991	0.796551175130155	0.658203125	0.853783975402261
k_Bacteria;p_Firmicutes;c_Erysipelotrichia;o_Erysipelotrichales;f_Erysipelotrichaceae;g_Coprobacillus;s_Unclassified Coprobacillus	2.78557709959968	2.31619804233281	4.26391181283736	-0.193531961626372	0.982731888110209	-0.196932616075513	0.378906413571975	0.652850126310919	0.885753778258238	0.9248046875	0.982875676931655
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Eubacteriaceae;g_Eubacterium;s_Eubacterium ventriosum	-1.96377359001201	-4.96333367299593	-0.809356257364508	3.53319362546002	5.96847753941878	0.591975692649434	0.316406519829961	0.291686638059039	0.642413713662177	0.400390625	0.726241620588602
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Unclassified Enterobacterales;g_Unclassified Enterobacterales;s_Unclassified Enterobacterales	-0.422926069254995	-0.422926069254995	-0.35215057179288	-0.205256123991225	8.49755424407532	-0.0241547294781123	0.42801565694614	0.756421352691042	0.924434411715656	0.8037109375	0.944655517789032
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Enterocloster;s_Enterocloster clostridioformis	3.22775746998379	3.74974193362661	-5.44100271066503	-8.88993739118441	4.03025616232803	-2.20579959018021	0.00027407495720991	0.0499827323863462	0.362080644622034	0.125	0.52642766776156
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides merdae	6.24375476928413	6.04577328556189	6.24375476928413	0.66284599369191	5.27664297433415	0.125618882481916	0.5	0.974320683428122	0.989564912972143	1	1
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Alistipes;s_Alistipes communis	0.632224168213485	0.632224168213485	0.733885345042028	0.239666221183665	4.41038835842627	0.0543412964361224	0.417968857192783	0.852669501145925	0.958157670788972	0.8349609375	0.953631391849837
