Feature,CSM5MCX3,HSM7J4HS,PSM7J1AU,HSM6XRTM,MSM6J2LL,MSM6J2Q3,CSM67UBH,ESM5MEBG
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Orbales;f_Orbaceae;g_Gilliamella;s_Unclassified Gilliamella,0,0,0,0,0,0,28,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Roseburia;s_Roseburia sp.,202,534,4922,12395,47,135,36,31
k_Eukaryota;p_Chordata;c_Phasianidae (no class in NCBI);o_Phasianidae (no order in NCBI);f_Phasianidae;g_Meleagris;s_Meleagris gallopavo,0,0,0,0,76,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Neobittarella;s_Neobittarella massiliensis,0,0,0,18,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Butyricicoccus;s_Unclassified Butyricicoccus,320,1752,378,481,68,122,0,762
k_Bacteria;p_Lentisphaerae;c_Lentisphaeria;o_Unclassified Lentisphaeria;f_Unclassified Lentisphaeria;g_Unclassified Lentisphaeria;s_Unclassified Lentisphaeria,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Exiguobacterium (no family in NCBI);g_Exiguobacterium;s_Unclassified Exiguobacterium,0,0,0,16,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. AF32-4BH,0,0,0,122,0,0,0,0
k_Eukaryota;p_Streptophyta;c_Magnoliopsida;o_Rosales;f_Rhamnaceae;g_Rhamnella;s_Rhamnella rubrinervis,0,0,0,0,0,0,0,0
k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Sutterellaceae;g_Dakarella;s_Unclassified Dakarella,0,0,0,0,0,0,0,0
k_Bacteria;p_Synergistetes;c_Synergistia;o_Synergistales;f_Synergistaceae;g_Unclassified Synergistaceae;s_Unclassified Synergistaceae,0,0,0,0,0,0,0,0
k_Bacteria;p_Synergistetes;c_Synergistia;o_Synergistales;f_Synergistaceae;g_Cloacibacillus;s_Cloacibacillus porcorum,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Enterocloster;s_Enterocloster bolteae,0,38,0,16,1459,53875,27450,818
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Yersiniaceae;g_Rahnella;s_Unclassified Rahnella,0,0,0,0,0,0,12,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Pseudoflavonifractor;s_Pseudoflavonifractor sp. Marseille-P3106,0,0,0,10,0,0,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides sp. An269,0,0,0,0,0,0,0,0
k_Bacteria;p_Bacteroidetes;c_Chitinophagia;o_Chitinophagales;f_Chitinophagaceae;g_Chitinophaga;s_Unclassified Chitinophaga,40,0,0,144,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium sp. AM45-5,4,0,2,4,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_butyrate-producing bacterium SS3/4 (no family in NCBI);g_butyrate-producing bacterium SS3/4 (no genus in NCBI);s_butyrate-producing bacterium SS3/4,322,279,0,844,0,225,0,395
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Prevotella;s_Prevotella sp.,2466,0,0,0,0,0,0,0
k_Eukaryota;p_Streptophyta;c_Magnoliopsida;o_Poales;f_Poaceae;g_Zea;s_Unclassified Zea,0,0,0,0,0,0,0,0
k_Bacteria;p_Synergistetes;c_Synergistia;o_Synergistales;f_Unclassified Synergistales;g_Unclassified Synergistales;s_Unclassified Synergistales,2,27,0,2,0,0,218,0
k_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Desulfovibrionales;f_Desulfovibrionaceae;g_Desulfovibrio;s_Desulfovibrio legallii,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Negativicutes;o_Acidaminococcales;f_Acidaminococcaceae;g_Acidaminococcus;s_Unclassified Acidaminococcus,18,0,0,24,0,2,3168,6
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Odoribacteraceae;g_Unclassified Odoribacteraceae;s_Unclassified Odoribacteraceae,488,28,6,106,0,6,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Alistipes;s_Alistipes sp. CHKCI003,0,0,0,0,0,0,0,0
k_Eukaryota;p_Streptophyta;c_Magnoliopsida;o_Gentianales;f_Apocynaceae;g_Unclassified Apocynaceae;s_Unclassified Apocynaceae,0,0,0,0,0,0,0,0
k_Bacteria;p_Proteobacteria;c_Epsilonproteobacteria;o_Campylobacterales;f_Campylobacteraceae;g_Campylobacter;s_Unclassified Campylobacter,32,340,978,36,0,458,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Coprococcus;s_Unclassified Coprococcus,697,4242,24,859,14,68,36,86
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides provencensis,0,0,0,8,0,0,0,0
k_Bacteria;p_Firmicutes;c_Negativicutes;o_Veillonellales;f_Veillonellaceae;g_Veillonella;s_Veillonella sp. S13054-11,0,0,0,0,0,0,0,0
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Xanthomonas;s_Unclassified Xanthomonas,0,0,0,0,0,0,48,0
k_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Desulfovibrionales;f_Desulfonatronaceae;g_Desulfonatronum;s_Unclassified Desulfonatronum,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Peptococcaceae;g_Desulfotomaculum;s_Unclassified Desulfotomaculum,8,0,4,76,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Agathobaculum;s_Agathobaculum sp. Marseille-P7918,6,0,0,0,0,0,0,0
k_Bacteria;p_Actinobacteria;c_Coriobacteriia;o_Eggerthellales;f_Eggerthellaceae;g_Adlercreutzia;s_Unclassified Adlercreutzia,8,0,0,0,1368,16,0,4
k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Pandoraea;s_Unclassified Pandoraea,20,0,0,0,0,0,40,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium paraputrificum,0,0,0,0,0,0,54,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Lachnospiraceae bacterium MD308 (no genus in NCBI);s_Lachnospiraceae bacterium MD308,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerocolumna;s_Unclassified Anaerocolumna,43,20,4,4,28,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Maledivibacter;s_Unclassified Maledivibacter,0,0,0,0,0,0,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Prevotella;s_Prevotella corporis,0,0,0,0,0,44,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Hydrogeniiclostidium;s_Unclassified Hydrogeniiclostidium,0,0,0,0,0,0,0,0
k_Eukaryota;p_Streptophyta;c_Magnoliopsida;o_Rosales;f_Rosaceae;g_Rosa;s_Rosa chinensis,0,0,0,0,0,0,0,0
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Salmonella;s_Salmonella sp. gx-f7,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Negativicutes;o_Acidaminococcales;f_Acidaminococcaceae;g_Acidaminococcaceae bacterium (no genus in NCBI);s_Acidaminococcaceae bacterium,20,0,0,224,0,617,0,0
k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Aequorivita;s_Unclassified Aequorivita,0,0,0,0,0,0,0,8
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Enterocloster;s_Enterocloster citroniae,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacilli bacterium (no order in NCBI);f_Bacilli bacterium (no family in NCBI);g_Bacilli bacterium (no genus in NCBI);s_Bacilli bacterium,0,0,6,2404,0,0,0,0
k_Bacteria;p_Chlamydiae;c_Chlamydiia;o_Chlamydiales;f_Chlamydiaceae;g_Chlamydia;s_Unclassified Chlamydia,0,0,0,0,0,0,0,0
k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Sutterellaceae;g_Sutterella;s_Sutterella sp. 63_29,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Erysipelotrichia;o_Erysipelotrichales;f_Erysipelotrichaceae;g_Amedibacillus;s_Unclassified Amedibacillus,10,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridia bacterium (no order in NCBI);f_Clostridia bacterium (no family in NCBI);g_Clostridia bacterium (no genus in NCBI);s_Clostridia bacterium,852,162,10,363,50,664,194,10
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Peptostreptococcaceae;g_Intestinibacter;s_Unclassified Intestinibacter,50,0,2,873,484,716,413,9320
k_Bacteria;p_Firmicutes;c_Clostridia;o_Candidatus Allochristensenella (no order in NCBI);f_Candidatus Allochristensenella (no family in NCBI);g_Candidatus Allochristensenella;s_Candidatus Allochristensenella caecavium,52,0,0,6,0,0,0,0
k_Bacteria;p_Armatimonadetes;c_Chthonomonadetes;o_Chthonomonadales;f_Chthonomonadaceae;g_Unclassified Chthonomonadaceae;s_Unclassified Chthonomonadaceae,0,0,0,0,0,114,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Faecalibacterium;s_Unclassified Faecalibacterium,142344,476018,9535,736526,4227,12905,68,357316
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Hungateiclostridiaceae;g_Unclassified Hungateiclostridiaceae;s_Unclassified Hungateiclostridiaceae,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiales bacterium 1_7_47FAA (no family in NCBI);g_Clostridiales bacterium 1_7_47FAA (no genus in NCBI);s_Clostridiales bacterium 1_7_47FAA,15,149,0,28,0,0,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Unclassified Parabacteroides,20521,96282,8159,250262,182,64451,956,48025
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium transplantifaecale,0,0,0,0,0,0,0,0
k_Eukaryota;p_Streptophyta;c_Magnoliopsida;o_Rosales;f_Rosaceae;g_Unclassified Rosaceae;s_Unclassified Rosaceae,174,0,0,8,0,0,0,0
k_Eukaryota;p_Ascomycota;c_Saccharomycetes;o_Saccharomycetales;f_Debaryomycetaceae;g_Unclassified Debaryomycetaceae;s_Unclassified Debaryomycetaceae,42,0,0,0,0,0,0,0
k_Bacteria;p_Verrucomicrobia;c_Unclassified Verrucomicrobia;o_Unclassified Verrucomicrobia;f_Unclassified Verrucomicrobia;g_Unclassified Verrucomicrobia;s_Unclassified Verrucomicrobia,0,0,0,0,0,0,0,0
k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Bifidobacteriales;f_Bifidobacteriaceae;g_Bifidobacterium;s_Bifidobacterium breve,0,38,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Eubacteriaceae;g_Eubacterium;s_Eubacterium sp. 38_16,0,0,0,0,0,17,0,16
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium sp. OF09-10,16,14,2,2,0,4,0,6
k_Bacteria;p_Verrucomicrobia;c_Verrucomicrobiae;o_Verrucomicrobiales;f_Akkermansiaceae;g_Unclassified Akkermansiaceae;s_Unclassified Akkermansiaceae,0,0,0,0,0,0,8,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides oleiciplenus,0,0,0,0,0,0,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Alistipes;s_Alistipes sp. AL-1,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Unclassified Clostridiales;g_Unclassified Clostridiales;s_Unclassified Clostridiales,125303,191855,15436,216754,133781,28945,17877,60827
k_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Desulfovibrionales;f_Desulfovibrionaceae;g_Desulfovibrio;s_Unclassified Desulfovibrio,90,0,0,404,0,140,0,163
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Hungateiclostridiaceae;g_Ruminiclostridium;s_Ruminiclostridium josui,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Negativicutes;o_Acidaminococcales;f_Unclassified Acidaminococcales;g_Unclassified Acidaminococcales;s_Unclassified Acidaminococcales,13468,0,0,79,0,8,15,0
k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Variovorax;s_Unclassified Variovorax,0,0,0,0,0,0,23,0
k_Bacteria;p_Bacteroidetes;c_Chitinophagia;o_Chitinophagales;f_Chitinophagaceae;g_Chitinophaga;s_Chitinophaga sp. K20C18050901,138,100,0,0,0,10,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides heparinolyticus,30,0,8,156,0,68,0,0
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Klebsiella;s_Klebsiella oxytoca,0,0,0,0,0,0,0,0
k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Pseudonocardiales;f_Unclassified Pseudonocardiales;g_Unclassified Pseudonocardiales;s_Unclassified Pseudonocardiales,0,22,0,10,4,26,0,4
k_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Desulfovibrionales;f_Desulfomicrobiaceae;g_Desulfomicrobium;s_Unclassified Desulfomicrobium,0,0,0,0,0,0,0,12
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Lachnospiraceae bacterium 7_1_58FAA (no genus in NCBI);s_Lachnospiraceae bacterium 7_1_58FAA,0,0,0,0,0,734,0,87
